32_ADC1@ADC,KONTAR (Ethernet),XRAM_FLOT,32#0001
32_ADC2@ADC,KONTAR (Ethernet),XRAM_FLOT,32#0005
32_ADC3@ADC,KONTAR (Ethernet),XRAM_FLOT,32#0009
32_ADC4@ADC,KONTAR (Ethernet),XRAM_FLOT,32#000D
32_ADC5@ADC,KONTAR (Ethernet),XRAM_FLOT,32#0011
32_ADC6@ADC,KONTAR (Ethernet),XRAM_FLOT,32#0015
32_ADC7@ADC,KONTAR (Ethernet),XRAM_FLOT,32#0019
32_ADC8@ADC,KONTAR (Ethernet),XRAM_FLOT,32#001D
32_Температура процессора @ADC,KONTAR (Ethernet),XRAM_FLOT,32#0025
32_Авария_SF8@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0F23
32_Авария_Н_подпитки_1@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0CC6
32_Авария_Н_подпитки_2@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0CC7
32_Авария _SF6@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0F1F
32_Авария _SF7@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0F20
32_Общ_сигнал_аварии@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0CC8
32_Авария_СХ_сетевые_Н@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0D07
32_Авария_СХ_подпитка@Аварии_МС12,KONTAR (Ethernet),XRAM_BOOL,32#0CF7
32_ГК_открыт@Управление_ГК,KONTAR (Ethernet),XRAM_BOOL,32#0C2C
32_Бия_С@Управление_ГК,KONTAR (Ethernet),XRAM_BOOL,32#0CC5
32_Загагзовано_СО@Управление_ГК,KONTAR (Ethernet),XRAM_BOOL,32#0CCC
32_Загазовано_СН4@Управление_ГК,KONTAR (Ethernet),XRAM_BOOL,32#0CCD
32_Пожар@Управление_ГК,KONTAR (Ethernet),XRAM_BOOL,32#0CCB
32_Электроэнергия_отказ@Управление_ГК,KONTAR (Ethernet),XRAM_BOOL,32#0D15
32_Р_после_подпитки@Упр_подпитка,KONTAR (Ethernet),XRAM_FLOT,32#0C45
32_зад_Р_подпитки@Упр_подпитка,KONTAR (Ethernet),XRAM_FLOT,32#0174
32_Р_исходной_воды@Упр_подпитка,KONTAR (Ethernet),XRAM_FLOT,32#0C49
32_задержка_вкл_подпитки@Упр_подпитка,KONTAR (Ethernet),XRAM_FLOT,32#0178
32_задан_Р_исх_вода_мин@Упр_подпитка,KONTAR (Ethernet),XRAM_FLOT,32#017C
32_Н1_подпитки_вкл@Упр_подпитка,KONTAR (Ethernet),XRAM_BOOL,32#0C31
32_Н2_подпитки_вкл@Упр_подпитка,KONTAR (Ethernet),XRAM_BOOL,32#0C32
32_Кнопка_подпитка_вкл@Упр_подпитка,KONTAR (Ethernet),XRAM_BOOL,32#0162
32_подпитка_включена@Упр_подпитка,KONTAR (Ethernet),XRAM_BOOL,32#0C33
32_Кнопка_подпитка_выкл@Упр_подпитка,KONTAR (Ethernet),XRAM_BOOL,32#0163
32_Норм_SH_подпитка@Упр_подпитка,KONTAR (Ethernet),XRAM_FLOT,32#0184
32_T_тепловент_задание@Упр_тепловент,KONTAR (Ethernet),XRAM_FLOT,32#016C
